model,device,context_window_size,prefill_chunk_size,max_batch_size,sliding_window_size,attention_sink_size,num_runs,max_tokens,metric_name,metric_value
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,engine_prefill_time_sum,0.8944264780000001
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,engine_decode_time_sum,8.029238304999991
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,engine_jump_forward_time_sum,8.773400000000001e-05
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,prompt_tokens_sum,117
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,completion_tokens_sum,384
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,prefill_tokens_sum,41
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,decode_tokens_sum,381
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,jump_forward_tokens_sum,0
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,prefill_tokens_per_s,45.839430080020506
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,decode_tokens_per_s,47.45157454882645
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_prompt_tokens,39
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_completion_tokens,128
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_prefill_tokens,1
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_decode_tokens,127
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_jump_forward_tokens,0
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_prefill_tokens_per_s,46.02984317264192
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_decode_tokens_per_s,47.678334099004196
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_end_to_end_latency_s,2.685408707
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_ttft_s,0.021725036
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_inter_token_latency_s,0.0209797555234375
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,decode_time_by_batch_size_mean{batch_size=1},0.02076053406842103
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,decode_time_by_batch_size_count{batch_size=1},380
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,engine_prefill_time_sum,0.320271103
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,engine_decode_time_sum,7.886830486000001
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,engine_jump_forward_time_sum,8.096299999999999e-05
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,prompt_tokens_sum,117
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,completion_tokens_sum,384
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,prefill_tokens_sum,41
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,decode_tokens_sum,381
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,jump_forward_tokens_sum,0
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,prefill_tokens_per_s,128.01654478331128
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,decode_tokens_per_s,48.30837947846315
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_prompt_tokens,39
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_completion_tokens,128
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_prefill_tokens,1
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_decode_tokens,127
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_jump_forward_tokens,0
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_prefill_tokens_per_s,45.530461290047334
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_decode_tokens_per_s,47.89256975274479
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_end_to_end_latency_s,2.673731654
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_ttft_s,0.021963318000000003
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_inter_token_latency_s,0.020888528546875
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,decode_time_by_batch_size_mean{batch_size=1},0.02069395086052632
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,decode_time_by_batch_size_count{batch_size=1},380
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,engine_prefill_time_sum,0.31101837100000007
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,engine_decode_time_sum,7.917904523999998
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,engine_jump_forward_time_sum,8.050899999999996e-05
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,prompt_tokens_sum,117
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,completion_tokens_sum,384
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,prefill_tokens_sum,41
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,decode_tokens_sum,381
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,jump_forward_tokens_sum,0
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,prefill_tokens_per_s,131.82501042679561
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,decode_tokens_per_s,48.118791890600484
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_prompt_tokens,39
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_completion_tokens,128
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_prefill_tokens,1
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_decode_tokens,127
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_jump_forward_tokens,0
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_prefill_tokens_per_s,45.07101366377357
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_decode_tokens_per_s,47.58647816299269
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_end_to_end_latency_s,2.6910125750000002
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_ttft_s,0.022187209000000003
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_inter_token_latency_s,0.021023535742187502
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,decode_time_by_batch_size_mean{batch_size=1},0.020775233602631574
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,decode_time_by_batch_size_count{batch_size=1},380
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,engine_prefill_time_sum,0.349776044
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,engine_decode_time_sum,7.938774374
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,engine_jump_forward_time_sum,8.640999999999997e-05
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,prompt_tokens_sum,117
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,completion_tokens_sum,384
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,prefill_tokens_sum,41
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,decode_tokens_sum,381
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,jump_forward_tokens_sum,0
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,prefill_tokens_per_s,117.217861838474
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,decode_tokens_per_s,47.9922947864345
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_prompt_tokens,39
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_completion_tokens,128
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_prefill_tokens,1
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_decode_tokens,127
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_jump_forward_tokens,0
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_prefill_tokens_per_s,45.308286187796135
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_decode_tokens_per_s,47.684940608130496
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_end_to_end_latency_s,2.685385649
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_ttft_s,0.022071018
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_inter_token_latency_s,0.0209795753828125
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,decode_time_by_batch_size_mean{batch_size=1},0.020827389081578947
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,decode_time_by_batch_size_count{batch_size=1},380
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,engine_prefill_time_sum,0.343437731
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,engine_decode_time_sum,7.905783225999994
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,engine_jump_forward_time_sum,7.855200000000002e-05
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,prompt_tokens_sum,117
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,completion_tokens_sum,384
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,prefill_tokens_sum,41
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,decode_tokens_sum,381
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,jump_forward_tokens_sum,0
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,prefill_tokens_per_s,119.38117538984089
