model,device,context_window_size,prefill_chunk_size,max_batch_size,sliding_window_size,attention_sink_size,num_runs,max_tokens,metric_name,metric_value
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,engine_prefill_time_sum,0.8118308510000001
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,engine_decode_time_sum,3.430023207000001
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,engine_jump_forward_time_sum,7.928099999999993e-05
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,prompt_tokens_sum,114
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,completion_tokens_sum,384
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,prefill_tokens_sum,40
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,decode_tokens_sum,381
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,jump_forward_tokens_sum,0
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,prefill_tokens_per_s,49.27134753591669
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,decode_tokens_per_s,111.0779656599565
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_prompt_tokens,38
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_completion_tokens,128
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_prefill_tokens,1
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_decode_tokens,127
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_jump_forward_tokens,0
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_prefill_tokens_per_s,107.93235922220487
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_decode_tokens_per_s,118.76864599356607
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_end_to_end_latency_s,1.078570845
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_ttft_s,0.009265062000000001
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_inter_token_latency_s,0.0084263347265625
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,decode_time_by_batch_size_mean{batch_size=1},0.008445484823684212
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,decode_time_by_batch_size_count{batch_size=1},380
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,0,3,128,engine_prefill_time_sum,0.16958849099999998
