model,device,context_window_size,prefill_chunk_size,max_batch_size,sliding_window_size,attention_sink_size,num_runs,max_tokens,metric_name,metric_value
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,engine_prefill_time_sum,0.8681087310000001
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,engine_decode_time_sum,7.7620894300000005
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,engine_jump_forward_time_sum,8.942300000000004e-05
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,prompt_tokens_sum,198
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,completion_tokens_sum,384
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,prefill_tokens_sum,68
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,decode_tokens_sum,381
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,jump_forward_tokens_sum,0
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,prefill_tokens_per_s,78.3312015784806
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,decode_tokens_per_s,49.084721766726666
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_prompt_tokens,66
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_completion_tokens,128
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_prefill_tokens,1
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_decode_tokens,127
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_jump_forward_tokens,0
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_prefill_tokens_per_s,45.526238933994
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_decode_tokens_per_s,49.53774266942346
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_end_to_end_latency_s,2.5856671540000002
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_ttft_s,0.021965355000000002
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,last_finished_request_inter_token_latency_s,0.020200524640625002
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,decode_time_by_batch_size_mean{batch_size=1},0.019819697297368422
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,decode_time_by_batch_size_count{batch_size=1},380
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,engine_prefill_time_sum,0.203993319
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,engine_decode_time_sum,7.607238115000004
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,engine_jump_forward_time_sum,8.961699999999999e-05
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,prompt_tokens_sum,198
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,completion_tokens_sum,384
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,prefill_tokens_sum,68
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,decode_tokens_sum,381
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,jump_forward_tokens_sum,0
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,prefill_tokens_per_s,333.34425035753253
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,decode_tokens_per_s,50.08387988391498
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_prompt_tokens,66
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_completion_tokens,128
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_prefill_tokens,1
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_decode_tokens,127
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_jump_forward_tokens,0
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_prefill_tokens_per_s,47.646666803571414
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_decode_tokens_per_s,49.4862033372992
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_end_to_end_latency_s,2.5873596930000002
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_ttft_s,0.020987827
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,last_finished_request_inter_token_latency_s,0.020213747601562502
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,decode_time_by_batch_size_mean{batch_size=1},0.019965641007894747
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,decode_time_by_batch_size_count{batch_size=1},380
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,engine_prefill_time_sum,0.19194043700000002
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,engine_decode_time_sum,7.606976029000004
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,engine_jump_forward_time_sum,7.978300000000005e-05
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,prompt_tokens_sum,198
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,completion_tokens_sum,384
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,prefill_tokens_sum,68
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,decode_tokens_sum,381
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,jump_forward_tokens_sum,0
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,prefill_tokens_per_s,354.2765717470988
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,decode_tokens_per_s,50.08560544262493
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_prompt_tokens,66
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_completion_tokens,128
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_prefill_tokens,1
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_decode_tokens,127
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_jump_forward_tokens,0
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_prefill_tokens_per_s,47.68455711775462
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_decode_tokens_per_s,49.484231466237894
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_end_to_end_latency_s,2.587445282
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_ttft_s,0.02097115
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,last_finished_request_inter_token_latency_s,0.020214416265625
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,decode_time_by_batch_size_mean{batch_size=1},0.019957284136842116
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,decode_time_by_batch_size_count{batch_size=1},380
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,engine_prefill_time_sum,0.31400503199999996
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,engine_decode_time_sum,7.63202362
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,engine_jump_forward_time_sum,8.3312e-05
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,prompt_tokens_sum,198
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,completion_tokens_sum,384
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,prefill_tokens_sum,68
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,decode_tokens_sum,381
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,jump_forward_tokens_sum,0
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,prefill_tokens_per_s,216.55703912413736
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,decode_tokens_per_s,49.92122914839721
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_prompt_tokens,66
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_completion_tokens,128
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_prefill_tokens,1
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_decode_tokens,127
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_jump_forward_tokens,0
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_prefill_tokens_per_s,47.24697766989717
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_decode_tokens_per_s,49.39188241837853
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_end_to_end_latency_s,2.592438098
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_ttft_s,0.021165375
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,last_finished_request_inter_token_latency_s,0.020253422640625
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,decode_time_by_batch_size_mean{batch_size=1},0.02002318397368421
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,decode_time_by_batch_size_count{batch_size=1},380
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,engine_prefill_time_sum,0.188949729
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,engine_decode_time_sum,7.613342481000003
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,engine_jump_forward_time_sum,8.228200000000013e-05
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,prompt_tokens_sum,198
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,completion_tokens_sum,384
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,prefill_tokens_sum,68
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,decode_tokens_sum,381
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,jump_forward_tokens_sum,0
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,prefill_tokens_per_s,359.88408324205636
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,decode_tokens_per_s,50.043722707973615
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,last_finished_request_prompt_tokens,66
