model,device,context_window_size,prefill_chunk_size,max_batch_size,sliding_window_size,attention_sink_size,num_runs,max_tokens,run_id,time_s,approx_chars,gpu_mem_total_mb,gpu_mem_params_mb,gpu_mem_kvcache_mb,gpu_mem_temp_mb
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,1,3.2288525104522705,642,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,2,3.040349245071411,664,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,3,2.6872801780700684,652,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,1,2.860142469406128,676,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,2,2.6829214096069336,659,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,3,2.675367832183838,664,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,1,2.8585922718048096,621,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,2,2.6896257400512695,643,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,3,2.6927249431610107,643,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,1,2.9079244136810303,667,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,2,2.7050962448120117,648,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,3,2.686995267868042,654,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,1,2.8881638050079346,640,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,2,2.6932027339935303,670,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,3,2.6790812015533447,634,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,256,3,128,1,2.693819761276245,615,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,256,3,128,2,2.7002501487731934,646,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,256,3,128,3,2.6893234252929688,670,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,0,3,128,1,2.6949496269226074,685,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,0,3,128,2,2.687466859817505,685,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,0,3,128,3,2.698643445968628,651,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,32,3,128,1,2.8510031700134277,663,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,32,3,128,2,2.6961021423339844,640,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,32,3,128,3,2.6804862022399902,645,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,64,3,128,1,2.8798604011535645,648,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,64,3,128,2,2.6929855346679688,642,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,64,3,128,3,2.6871490478515625,660,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,128,3,128,1,2.8863234519958496,655,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,128,3,128,2,2.716238498687744,653,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,128,3,128,3,2.7004690170288086,668,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,256,3,128,1,2.7223713397979736,624,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,256,3,128,2,2.7032368183135986,682,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,256,3,128,3,2.671560049057007,698,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,-1,0,3,128,1,2.8268849849700928,647,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,-1,0,3,128,2,2.6855404376983643,668,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,-1,0,3,128,3,2.686718463897705,631,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,0,3,128,1,2.885554790496826,627,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,0,3,128,2,2.6991071701049805,675,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,0,3,128,3,2.6926302909851074,632,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,32,3,128,1,2.8268165588378906,663,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,32,3,128,2,2.681821823120117,683,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,32,3,128,3,2.674842119216919,620,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,64,3,128,1,2.8970446586608887,621,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,64,3,128,2,2.689939498901367,618,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,64,3,128,3,2.698005437850952,629,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,128,3,128,1,2.701040744781494,685,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,128,3,128,2,2.6809263229370117,649,16264.997,15316.508,600.521,347.968
