model,device,context_window_size,prefill_chunk_size,max_batch_size,sliding_window_size,attention_sink_size,num_runs,max_tokens,run_id,time_s,approx_chars,gpu_mem_total_mb,gpu_mem_params_mb,gpu_mem_kvcache_mb,gpu_mem_temp_mb
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,-1,0,3,128,1,1.535463809967041,615,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,-1,0,3,128,2,1.3940775394439697,570,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,-1,0,3,128,3,1.311314582824707,697,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,0,3,128,1,1.3312880992889404,640,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,0,3,128,2,1.3160665035247803,685,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,0,3,128,3,1.3087348937988281,658,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,32,3,128,1,1.3480205535888672,637,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,32,3,128,2,1.317415714263916,582,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,32,3,128,3,1.3217532634735107,701,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,64,3,128,1,1.3503632545471191,668,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,64,3,128,2,1.3052477836608887,633,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,64,3,128,3,1.3110859394073486,634,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,128,3,128,1,1.3320486545562744,592,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,128,3,128,2,1.3256416320800781,650,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,128,3,128,3,1.3079144954681396,671,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,256,3,128,1,1.362154245376587,608,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,256,3,128,2,1.3142812252044678,616,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,2048,256,3,128,3,1.302013635635376,592,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,0,3,128,1,1.3649718761444092,644,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,0,3,128,2,1.3054487705230713,637,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,0,3,128,3,1.3113069534301758,659,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,32,3,128,1,1.3625991344451904,620,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,32,3,128,2,1.320678949356079,630,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,32,3,128,3,1.306901454925537,651,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,64,3,128,1,1.3791661262512207,681,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,64,3,128,2,1.3227534294128418,652,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,64,3,128,3,1.3108770847320557,687,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,128,3,128,1,1.3407909870147705,697,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,128,3,128,2,1.3288495540618896,658,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,128,3,128,3,1.3147270679473877,642,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,256,3,128,1,1.3555347919464111,611,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,256,3,128,2,1.320775032043457,630,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,1,4096,256,3,128,3,1.309396505355835,614,4627.504,3463.425,722.068,442.011
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,2,-1,0,3,128,1,1.349665880203247,597,4629.484,3463.425,722.068,443.992
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,2,-1,0,3,128,2,1.3124206066131592,634,4629.484,3463.425,722.068,443.992
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,2,-1,0,3,128,3,1.3071613311767578,590,4629.484,3463.425,722.068,443.992
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,2,2048,0,3,128,1,1.3428151607513428,611,4629.484,3463.425,722.068,443.992
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,2,2048,0,3,128,2,1.3054430484771729,686,4629.484,3463.425,722.068,443.992
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,2,2048,0,3,128,3,1.3228111267089844,568,4629.484,3463.425,722.068,443.992
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,2,2048,32,3,128,1,1.3604979515075684,592,4629.484,3463.425,722.068,443.992
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,2,2048,32,3,128,2,1.319594383239746,619,4629.484,3463.425,722.068,443.992
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,2,2048,32,3,128,3,1.305342674255371,606,4629.484,3463.425,722.068,443.992
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,2,2048,64,3,128,1,1.3749654293060303,664,4629.484,3463.425,722.068,443.992
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,2,2048,64,3,128,2,1.3327748775482178,698,4629.484,3463.425,722.068,443.992
HF://mlc-ai/Llama-3-8B-Instruct-q3f16_1-MLC,vulkan:0,4096,1024,2,2048,64,3,128,3,1.3094828128814697,618,4629.484,3463.425,722.068,443.992
