model,device,context_window_size,prefill_chunk_size,max_batch_size,sliding_window_size,attention_sink_size,num_runs,max_tokens,run_id,time_s,approx_chars,gpu_mem_total_mb,gpu_mem_params_mb,gpu_mem_kvcache_mb,gpu_mem_temp_mb
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,1,1.6605467796325684,602,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,2,1.5293266773223877,635,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,-1,0,3,128,3,1.080399513244629,622,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,0,3,128,1,1.2485158443450928,624,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,0,3,128,2,1.0843791961669922,649,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,0,3,128,3,1.0738248825073242,597,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,32,3,128,1,1.3332362174987793,616,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,32,3,128,2,1.0827491283416748,632,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,32,3,128,3,1.0677485466003418,650,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,64,3,128,1,1.2558643817901611,621,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,64,3,128,2,1.078169345855713,624,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,64,3,128,3,1.0738580226898193,612,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,128,3,128,1,1.377488136291504,632,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,128,3,128,2,1.088846206665039,626,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,128,3,128,3,1.084223747253418,631,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,256,3,128,1,1.2385945320129395,618,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,256,3,128,2,1.073481559753418,622,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,2048,256,3,128,3,1.0880541801452637,567,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,0,3,128,1,1.320478916168213,625,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,0,3,128,2,1.085451602935791,632,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,0,3,128,3,1.0757083892822266,631,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,32,3,128,1,1.344066858291626,642,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,32,3,128,2,1.084885597229004,613,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,32,3,128,3,1.0850765705108643,619,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,64,3,128,1,1.3060259819030762,636,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,64,3,128,2,1.0879311561584473,593,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,64,3,128,3,1.0783319473266602,647,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,128,3,128,1,1.3255634307861328,630,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,128,3,128,2,1.0948326587677002,626,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,128,3,128,3,1.0709657669067383,636,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,256,3,128,1,1.3055591583251953,629,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,256,3,128,2,1.0757789611816406,628,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,1,4096,256,3,128,3,1.0734543800354004,617,5310.333,4714.258,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,-1,0,3,128,1,1.3293077945709229,665,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,-1,0,3,128,2,1.0807240009307861,629,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,-1,0,3,128,3,1.0790083408355713,627,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,0,3,128,1,1.2317821979522705,649,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,0,3,128,2,1.0877554416656494,627,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,0,3,128,3,1.0761923789978027,609,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,32,3,128,1,1.3674671649932861,627,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,32,3,128,2,1.0886130332946777,582,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,32,3,128,3,1.0811138153076172,617,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,64,3,128,1,1.342470407485962,603,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,64,3,128,2,1.0799298286437988,642,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,64,3,128,3,1.0771141052246094,633,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,128,3,128,1,1.194706678390503,644,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,128,3,128,2,1.0872571468353271,622,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,128,3,128,3,1.076920747756958,623,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,256,3,128,1,1.3327479362487793,633,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,256,3,128,2,1.0881314277648926,627,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,2048,256,3,128,3,1.0840754508972168,634,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,0,3,128,1,1.3650681972503662,631,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,0,3,128,2,1.0864927768707275,656,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,0,3,128,3,1.0741372108459473,654,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,32,3,128,1,1.3671207427978516,672,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,32,3,128,2,1.0724406242370605,639,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,32,3,128,3,1.0746972560882568,623,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,64,3,128,1,1.3113791942596436,656,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,64,3,128,2,1.0878562927246094,620,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,64,3,128,3,1.0720090866088867,615,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,128,3,128,1,1.3296160697937012,634,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,128,3,128,2,1.080808401107788,622,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,128,3,128,3,1.0798890590667725,642,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,256,3,128,1,1.3605763912200928,633,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,256,3,128,2,1.0814223289489746,660,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,2,4096,256,3,128,3,1.0718111991882324,639,5312.309,4714.258,258.068,339.984
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,-1,0,3,128,1,1.3211040496826172,599,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,-1,0,3,128,2,1.08156156539917,643,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,-1,0,3,128,3,1.0744273662567139,641,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,0,3,128,1,1.3285748958587646,657,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,0,3,128,2,1.0907785892486572,658,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,0,3,128,3,1.087893009185791,634,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,32,3,128,1,1.3853445053100586,631,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,32,3,128,2,1.0795753002166748,644,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,32,3,128,3,1.085442066192627,635,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,64,3,128,1,1.3202793598175049,665,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,64,3,128,2,1.0790033340454102,619,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,64,3,128,3,1.0711839199066162,647,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,128,3,128,1,1.3367538452148438,654,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,128,3,128,2,1.0849294662475586,649,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,128,3,128,3,1.079230785369873,613,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,256,3,128,1,1.2174842357635498,652,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,256,3,128,2,1.0719127655029297,648,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,2048,256,3,128,3,1.0829246044158936,635,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,0,3,128,1,1.2388896942138672,631,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,0,3,128,2,1.0821404457092285,626,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,0,3,128,3,1.1032884120941162,624,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,32,3,128,1,1.3387889862060547,597,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,32,3,128,2,1.0862011909484863,631,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,32,3,128,3,1.085636854171753,635,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,64,3,128,1,1.3272063732147217,585,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,64,3,128,2,1.083805799484253,634,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,64,3,128,3,1.0760159492492676,636,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,128,3,128,1,1.2124519348144531,632,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,128,3,128,2,1.0797374248504639,603,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,128,3,128,3,1.0827445983886719,666,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,256,3,128,1,1.333050012588501,618,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,256,3,128,2,1.0834028720855713,622,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,4,4096,256,3,128,3,1.0785832405090332,590,5316.262,4714.258,258.068,343.936
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,8,-1,0,3,128,1,1.3449373245239258,636,5324.167,4714.258,258.068,351.841
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,8,-1,0,3,128,2,1.0823609828948975,630,5324.167,4714.258,258.068,351.841
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,8,-1,0,3,128,3,1.06596040725708,678,5324.167,4714.258,258.068,351.841
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,8,2048,0,3,128,1,1.3471720218658447,659,5324.167,4714.258,258.068,351.841
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,8,2048,0,3,128,2,1.0896761417388916,666,5324.167,4714.258,258.068,351.841
HF://mlc-ai/Llama-3.2-1B-Instruct-q0f32-MLC,vulkan:0,4096,1024,8,2048,0,3,128,3,1.0805447101593018,612,5324.167,4714.258,258.068,351.841
