model,device,context_window_size,prefill_chunk_size,max_batch_size,sliding_window_size,attention_sink_size,num_runs,max_tokens,run_id,time_s,approx_chars,gpu_mem_total_mb,gpu_mem_params_mb,gpu_mem_kvcache_mb,gpu_mem_temp_mb
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,-1,0,3,128,1,0.6875941753387451,667,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,-1,0,3,128,2,0.7953166961669922,645,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,-1,0,3,128,3,0.521399974822998,637,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,0,3,128,1,0.6907472610473633,658,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,0,3,128,2,0.5393073558807373,666,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,0,3,128,3,0.5254437923431396,650,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,32,3,128,1,0.7242293357849121,606,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,32,3,128,2,0.5374059677124023,639,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,32,3,128,3,0.540367603302002,645,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,64,3,128,1,0.7081596851348877,702,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,64,3,128,2,0.5369091033935547,687,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,64,3,128,3,0.5438742637634277,671,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,128,3,128,1,0.6554222106933594,652,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,128,3,128,2,0.5352284908294678,606,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,128,3,128,3,0.5343358516693115,672,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,256,3,128,1,0.690284252166748,662,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,256,3,128,2,0.520221471786499,648,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,2048,256,3,128,3,0.5387048721313477,672,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,0,3,128,1,0.7053489685058594,640,1332.895,736.82,258.068,338.007
HF://mlc-ai/Llama-3.2-1B-Instruct-q4f32_1-MLC,vulkan:0,4096,1024,1,4096,0,3,128,2,0.5172276496887207,648,1332.895,736.82,258.068,338.007
