model,device,context_window_size,prefill_chunk_size,max_batch_size,sliding_window_size,attention_sink_size,num_runs,max_tokens,run_id,time_s,approx_chars,gpu_mem_total_mb,gpu_mem_params_mb,gpu_mem_kvcache_mb,gpu_mem_temp_mb
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,1,3.1557929515838623,592,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,2,2.930129289627075,681,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,3,2.5874876976013184,603,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,1,2.6561388969421387,676,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,2,2.575568675994873,618,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,3,2.589177131652832,664,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,1,2.6300551891326904,661,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,2,2.591346263885498,698,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,3,2.5886847972869873,658,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,1,2.76806378364563,680,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,2,2.5955169200897217,654,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,3,2.594014883041382,608,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,1,2.6249144077301025,639,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,2,2.5988247394561768,685,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,3,2.5911669731140137,648,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,256,3,128,1,2.702143907546997,682,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,256,3,128,2,2.615213632583618,689,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,2048,256,3,128,3,2.593088388442993,672,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,4096,0,3,128,1,2.600639820098877,664,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,4096,0,3,128,2,2.582063913345337,710,14753.564,13824.508,600.521,328.535
HF://mlc-ai/Mistral-7B-Instruct-v0.3-q0f16-MLC,vulkan:0,4096,1024,1,4096,0,3,128,3,2.574634075164795,620,14753.564,13824.508,600.521,328.535
