model,device,context_window_size,prefill_chunk_size,max_batch_size,sliding_window_size,attention_sink_size,num_runs,max_tokens,run_id,time_s,approx_chars,gpu_mem_total_mb,gpu_mem_params_mb,gpu_mem_kvcache_mb,gpu_mem_temp_mb
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,1,3.172178268432617,655,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,2,3.0458362102508545,659,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,-1,0,3,128,3,2.6927053928375244,680,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,1,2.8133630752563477,639,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,2,2.6943697929382324,660,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,0,3,128,3,2.691822052001953,663,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,1,2.792782783508301,632,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,2,2.694079637527466,652,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,32,3,128,3,2.707120180130005,661,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,1,2.823676586151123,646,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,2,2.6943438053131104,665,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,64,3,128,3,2.6711320877075195,651,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,1,2.77042555809021,675,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,2,2.6882359981536865,630,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,128,3,128,3,2.6773126125335693,656,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,256,3,128,1,2.761070489883423,645,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,256,3,128,2,2.6829442977905273,632,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,2048,256,3,128,3,2.675729751586914,656,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,0,3,128,1,2.8935658931732178,660,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,0,3,128,2,2.6931211948394775,631,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,0,3,128,3,2.713216781616211,656,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,32,3,128,1,2.8999955654144287,642,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,32,3,128,2,2.683100700378418,642,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,32,3,128,3,2.6664841175079346,636,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,64,3,128,1,2.801722526550293,624,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,64,3,128,2,2.682988405227661,642,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,64,3,128,3,2.6681506633758545,652,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,128,3,128,1,2.9048125743865967,661,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,128,3,128,2,2.7004942893981934,673,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,128,3,128,3,2.6796083450317383,668,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,256,3,128,1,2.881143569946289,654,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,256,3,128,2,2.6994659900665283,616,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,1,4096,256,3,128,3,2.680483102798462,708,16263.016,15316.508,600.521,345.988
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,-1,0,3,128,1,2.83160662651062,651,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,-1,0,3,128,2,2.6993846893310547,649,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,-1,0,3,128,3,2.6874020099639893,636,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,0,3,128,1,2.754176139831543,686,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,0,3,128,2,2.6878910064697266,648,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,0,3,128,3,2.6909914016723633,657,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,32,3,128,1,2.7584125995635986,635,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,32,3,128,2,2.690122365951538,642,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,32,3,128,3,2.6825599670410156,660,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,64,3,128,1,2.900624990463257,681,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,64,3,128,2,2.6812679767608643,635,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,64,3,128,3,2.68735408782959,631,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,128,3,128,1,2.7920432090759277,666,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,128,3,128,2,2.6828086376190186,657,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,128,3,128,3,2.672332286834717,647,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,256,3,128,1,2.8893885612487793,685,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,256,3,128,2,2.682687520980835,655,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,2048,256,3,128,3,2.6848721504211426,655,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,0,3,128,1,2.7580184936523438,644,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,0,3,128,2,2.681575298309326,655,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,0,3,128,3,2.6930384635925293,655,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,32,3,128,1,2.8416385650634766,681,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,32,3,128,2,2.6962904930114746,671,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,32,3,128,3,2.6840336322784424,638,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,64,3,128,1,2.7637147903442383,701,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,64,3,128,2,2.6932177543640137,647,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,64,3,128,3,2.6861534118652344,645,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,128,3,128,1,2.7933595180511475,665,16264.997,15316.508,600.521,347.968
HF://mlc-ai/Llama-3-8B-Instruct-q0f16-MLC,vulkan:0,4096,1024,2,4096,128,3,128,2,2.6926474571228027,659,16264.997,15316.508,600.521,347.968
